anchor,n_solutions
128,3
256,2
512,4
2187,1
4096,1
6561,4
8192,3
16384,2
32768,4
59049,1
78125,1
177147,1
262144,1
390625,1
524288,3
531441,1
823543,2
1048576,2
1594323,1
1679616,4
2097152,4
4782969,4
5764801,1
9765625,2
10000000,2
10077696,2
16777216,1
19487171,2
33554432,3
35831808,2
40353607,5
43046721,1
60466176,4
62748517,1
67108864,2
100000000,10
129140163,1
134217728,4
170859375,4
214358881,2
244140625,1
282475249,1
362797056,2
387420489,1
410338673,9
612220032,3
815730721,2
893871739,2
1000000000,2
1073741824,1
1162261467,1
1220703125,1
1280000000,1
1475789056,2
1801088541,1
1977326743,1
2147483648,3
2176782336,1
2357947691,2
2494357888,1
2562890625,16
3404825447,1
3486784401,4
4294967296,2
4586471424,7
6103515625,1
6975757441,3
8031810176,5
8589934592,4
10000000000,2
11019960576,1
13492928512,6
13841287201,1
20661046784,3
21870000000,2
27512614111,1
31381059609,1
37822859361,3
42618442977,1
61917364224,1
64339296875,2
68719476736,1
78364164096,4
94143178827,1
94931877133,3
96889010407,2
100000000000,1
110075314176,5
114415582592,1
137231006679,4
137438953472,3
152587890625,2
163840000000,3
194754273881,1
198359290368,4
208827064576,8
271818611107,1
274877906944,2
282429536481,1
289254654976,1
319277809664,3
373669453125,1
377801998336,4
435817657216,1
470184984576,2
500246412961,2
506623120463,3
549755813888,4
576650390625,2
587068342272,4
656100000000,2
678223072849,1
781250000000,1
794280046581,2
847288609443,1
897410677851,1
1000000000000,1
1028071702528,1
1174711139837,2
1207269217792,2
1338925209984,4
1406408618241,1
1522435234375,3
1727094849536,3
1785793904896,1
1801152661463,2
1954897493193,5
2015993900449,1
2251875390625,5
2541865828329,4
2641807540224,2
2799360000000,2
2821109907456,4
3138428376721,1
3142742836021,1
3512479453921,2
3521614606208,1
3814697265625,1
3938980639167,5
4347792138496,1
4398046511104,1
4747561509943,5
4902227890625,5
5352009260481,4
5429503678976,8
5455160701056,1
6060711605323,1
6553600000000,2
6722988818432,2
7446353252589,1
8796093022208,3
8916100448256,1
9095120158391,2
9682651996416,4
10000000000000,2
10030613004288,5
10240000000000,1
10578455953408,7
11047398519097,6
11688200277601,3
12151280273024,1
13348388671875,1
14048223625216,1
14645194571776,4
16815125390625,3
16926659444736,2
17592186044416,2
19073486328125,1
19203908986159,2
19683000000000,1
20047612231936,3
20971520000000,5
22876792454961,1
23298085122481,1
23811286661761,2
24928547056768,1
26439622160671,1
27136050989627,1
28179280429056,4
29509034655744,1
33232930569601,1
34522712143931,2
35184372088832,4
37725479487783,1
39062500000000,1
44231334895529,5
45767944570401,1
46411484401953,2
51676101935731,1
53459728531456,2
55784660123648,1
56693912375296,1
60716992766464,1
62259690411361,2
63403380965376,1
64847759419264,1
68630377364883,1
69833729609375,1
72301961339136,3
78815638671875,1
80798284478113,1
83733937890625,11
86812553324672,2
93206534790699,1
95367431640625,1
96717311574016,1
100000000000000,10
101559956668416,1
106993205379072,2
107213535210701,2
111429157112001,2
114868566764928,1
116490258898219,1
128063081718016,1
129746337890625,1
129961739795077,2
131593177923584,3
140710042265625,1
141167095653376,1
150363025899136,2
160578147647843,2
165216101262848,6
167961600000000,5
171382426877952,5
182803912081669,2
194871710000000,1
205891132094649,1
218340105584896,8
221068140740608,2
232630513987207,1
235260548044817,7
248155780267521,10
262144000000000,2
281474976710656,1
282621973446656,5
300124211606973,1
302875106592253,1
318547390056832,3
318644812890625,2
337931541778439,1
358318080000000,2
360040606269696,11
379749833583241,2
402271083010688,2
406671383849472,1
450766669594624,2
457163239653376,3
504189521813376,3
532875860165503,2
562949953421312,3
576480100000000,2
582622237229761,1
594467302491009,4
617673396283947,1
618121839509504,3
627485170000000,1
645753531245761,1
662062621900811,1
698260569735168,1
722204136308736,1
775771085481344,2
806460091894081,1
817215093984375,4
860542568759296,2
899194740203776,1
922190162669056,2
953133216331392,1
1000000000000000,2
1001129150390625,1
1002544368429379,1
1107984764452581,4
1113034787454976,5
1119130473102767,1
1125899906842624,2
1156831381426176,1
1164175380274048,1
1222791080775407,2
1347646586640625,6
1370114370683136,3
1414067010444416,1
1483273860320763,3
1521681143169024,2
1531578985264449,3
1555363874947072,4
1628413597910449,1
1677721600000000,10
1708593750000000,3
1789940649848551,2
1853020188851841,4
1874584905187328,6
1946195068359375,4
1953125000000000,4
1962637152460137,1
2044140858654976,2
2054210978157184,1
2149422977421875,1
2213314919066161,1
2248392813428736,1
2251799813685248,4
2384185791015625,2
2569093262823519,1
2724905250390625,2
2758547353515625,4
2804020163098721,5
3057125241215467,1
3190854023266304,4
3329565857578125,1
3596345248055296,5
3622557586593623,1
3656158440062976,4
3777156435935232,4
3904305912313344,2
3936588805702081,1
3937376385699289,2
4096000000000000,1
4103386730000000,3
4177248169415651,2
4275360817613091,3
4304672100000000,4
4453476124377088,2
4605366583984375,2
4702525276151521,9
4828861374436224,7
5026507568359375,1
5416169448144896,3
5442680797299153,1
5595818096650401,1
6122200320000000,2
6351461955384057,3
6634204312890625,1
6873178582377927,1
7140436495826944,2
7355827511386641,1
7416552901015625,1
7701771143776896,4
7837433594376961,1
8293509467471872,1
8300513205665792,2
8614550657858229,1
8938717390000000,1
9227446944279201,3
9273284218074431,3
9618527719784448,2
9904578032905937,9
9974730326005057,1
10000000000000000,2
